Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : naive
Num Clients : 5
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 500.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=13, total_fda_steps=313, accuracy=0.28040000796318054, train_accuracy=0.3375)
EpochMetrics(epoch=2, total_rounds=14, total_fda_steps=625, accuracy=0.36489999294281006, train_accuracy=0.30625)
EpochMetrics(epoch=3, total_rounds=15, total_fda_steps=938, accuracy=0.4108999967575073, train_accuracy=0.3125)
EpochMetrics(epoch=4, total_rounds=16, total_fda_steps=1250, accuracy=0.4226999878883362, train_accuracy=0.39375)
EpochMetrics(epoch=5, total_rounds=16, total_fda_steps=1563, accuracy=0.43470001220703125, train_accuracy=0.4375)
EpochMetrics(epoch=6, total_rounds=17, total_fda_steps=1875, accuracy=0.503000020980835, train_accuracy=0.44375)
EpochMetrics(epoch=7, total_rounds=19, total_fda_steps=2188, accuracy=0.44040000438690186, train_accuracy=0.5375)
EpochMetrics(epoch=8, total_rounds=20, total_fda_steps=2500, accuracy=0.49810001254081726, train_accuracy=0.4375)
EpochMetrics(epoch=9, total_rounds=21, total_fda_steps=2813, accuracy=0.5414999723434448, train_accuracy=0.525)
EpochMetrics(epoch=10, total_rounds=22, total_fda_steps=3125, accuracy=0.5595999956130981, train_accuracy=0.5)
EpochMetrics(epoch=11, total_rounds=22, total_fda_steps=3438, accuracy=0.5672000050544739, train_accuracy=0.58125)
EpochMetrics(epoch=12, total_rounds=23, total_fda_steps=3750, accuracy=0.5981000065803528, train_accuracy=0.575)
EpochMetrics(epoch=13, total_rounds=24, total_fda_steps=4063, accuracy=0.6313999891281128, train_accuracy=0.56875)
EpochMetrics(epoch=14, total_rounds=25, total_fda_steps=4375, accuracy=0.6499999761581421, train_accuracy=0.6)
EpochMetrics(epoch=15, total_rounds=26, total_fda_steps=4688, accuracy=0.6534000039100647, train_accuracy=0.61875)
EpochMetrics(epoch=16, total_rounds=26, total_fda_steps=5000, accuracy=0.6553000211715698, train_accuracy=0.5875)
EpochMetrics(epoch=17, total_rounds=27, total_fda_steps=5313, accuracy=0.6696000099182129, train_accuracy=0.6375)
EpochMetrics(epoch=18, total_rounds=28, total_fda_steps=5625, accuracy=0.6761000156402588, train_accuracy=0.65625)
EpochMetrics(epoch=19, total_rounds=29, total_fda_steps=5938, accuracy=0.7035999894142151, train_accuracy=0.63125)
EpochMetrics(epoch=20, total_rounds=30, total_fda_steps=6250, accuracy=0.7161999940872192, train_accuracy=0.6125)
EpochMetrics(epoch=21, total_rounds=30, total_fda_steps=6563, accuracy=0.7092999815940857, train_accuracy=0.73125)
EpochMetrics(epoch=22, total_rounds=31, total_fda_steps=6875, accuracy=0.7111999988555908, train_accuracy=0.66875)
EpochMetrics(epoch=23, total_rounds=32, total_fda_steps=7188, accuracy=0.7113999724388123, train_accuracy=0.74375)
EpochMetrics(epoch=24, total_rounds=33, total_fda_steps=7500, accuracy=0.7264999747276306, train_accuracy=0.64375)
EpochMetrics(epoch=25, total_rounds=34, total_fda_steps=7813, accuracy=0.7348999977111816, train_accuracy=0.6875)
EpochMetrics(epoch=26, total_rounds=35, total_fda_steps=8125, accuracy=0.7343000173568726, train_accuracy=0.70625)
EpochMetrics(epoch=27, total_rounds=36, total_fda_steps=8438, accuracy=0.7365999817848206, train_accuracy=0.66875)
EpochMetrics(epoch=28, total_rounds=36, total_fda_steps=8750, accuracy=0.7469000220298767, train_accuracy=0.70625)
EpochMetrics(epoch=29, total_rounds=37, total_fda_steps=9063, accuracy=0.7462000250816345, train_accuracy=0.75)
