Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : sketch
Num Clients : 25
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 350.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=11, total_fda_steps=63, accuracy=0.10010000318288803, train_accuracy=0.1925)
EpochMetrics(epoch=2, total_rounds=14, total_fda_steps=125, accuracy=0.16189999878406525, train_accuracy=0.22875)
EpochMetrics(epoch=3, total_rounds=15, total_fda_steps=188, accuracy=0.32260000705718994, train_accuracy=0.285)
EpochMetrics(epoch=4, total_rounds=16, total_fda_steps=250, accuracy=0.3553999960422516, train_accuracy=0.32125)
EpochMetrics(epoch=5, total_rounds=17, total_fda_steps=313, accuracy=0.3580000102519989, train_accuracy=0.33875)
EpochMetrics(epoch=6, total_rounds=17, total_fda_steps=375, accuracy=0.3580999970436096, train_accuracy=0.3325)
EpochMetrics(epoch=7, total_rounds=18, total_fda_steps=438, accuracy=0.37450000643730164, train_accuracy=0.38)
EpochMetrics(epoch=8, total_rounds=18, total_fda_steps=500, accuracy=0.39309999346733093, train_accuracy=0.3675)
EpochMetrics(epoch=9, total_rounds=19, total_fda_steps=563, accuracy=0.4090000092983246, train_accuracy=0.40625)
EpochMetrics(epoch=10, total_rounds=19, total_fda_steps=625, accuracy=0.41990000009536743, train_accuracy=0.4075)
EpochMetrics(epoch=11, total_rounds=20, total_fda_steps=688, accuracy=0.4341000020503998, train_accuracy=0.39875)
EpochMetrics(epoch=12, total_rounds=20, total_fda_steps=750, accuracy=0.43790000677108765, train_accuracy=0.42375)
EpochMetrics(epoch=13, total_rounds=20, total_fda_steps=813, accuracy=0.4577000141143799, train_accuracy=0.46)
EpochMetrics(epoch=14, total_rounds=21, total_fda_steps=875, accuracy=0.462799996137619, train_accuracy=0.4275)
EpochMetrics(epoch=15, total_rounds=21, total_fda_steps=938, accuracy=0.46650001406669617, train_accuracy=0.45625)
