Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : naive
Num Clients : 5
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 350.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=17, total_fda_steps=313, accuracy=0.2881999909877777, train_accuracy=0.34375)
EpochMetrics(epoch=2, total_rounds=18, total_fda_steps=625, accuracy=0.35670000314712524, train_accuracy=0.3625)
EpochMetrics(epoch=3, total_rounds=19, total_fda_steps=938, accuracy=0.42829999327659607, train_accuracy=0.375)
EpochMetrics(epoch=4, total_rounds=20, total_fda_steps=1250, accuracy=0.45239999890327454, train_accuracy=0.3875)
EpochMetrics(epoch=5, total_rounds=21, total_fda_steps=1563, accuracy=0.491100013256073, train_accuracy=0.54375)
EpochMetrics(epoch=6, total_rounds=22, total_fda_steps=1875, accuracy=0.5012000203132629, train_accuracy=0.5)
EpochMetrics(epoch=7, total_rounds=23, total_fda_steps=2188, accuracy=0.5156999826431274, train_accuracy=0.5125)
EpochMetrics(epoch=8, total_rounds=24, total_fda_steps=2500, accuracy=0.5472000241279602, train_accuracy=0.5375)
EpochMetrics(epoch=9, total_rounds=25, total_fda_steps=2813, accuracy=0.5702999830245972, train_accuracy=0.5125)
EpochMetrics(epoch=10, total_rounds=26, total_fda_steps=3125, accuracy=0.5895000100135803, train_accuracy=0.53125)
EpochMetrics(epoch=11, total_rounds=27, total_fda_steps=3438, accuracy=0.5964000225067139, train_accuracy=0.55625)
EpochMetrics(epoch=12, total_rounds=28, total_fda_steps=3750, accuracy=0.6082000136375427, train_accuracy=0.55625)
EpochMetrics(epoch=13, total_rounds=29, total_fda_steps=4063, accuracy=0.628600001335144, train_accuracy=0.54375)
EpochMetrics(epoch=14, total_rounds=31, total_fda_steps=4375, accuracy=0.607699990272522, train_accuracy=0.63125)
EpochMetrics(epoch=15, total_rounds=32, total_fda_steps=4688, accuracy=0.5227000117301941, train_accuracy=0.525)
EpochMetrics(epoch=16, total_rounds=34, total_fda_steps=5000, accuracy=0.6176000237464905, train_accuracy=0.6375)
EpochMetrics(epoch=17, total_rounds=35, total_fda_steps=5313, accuracy=0.6420000195503235, train_accuracy=0.625)
EpochMetrics(epoch=18, total_rounds=36, total_fda_steps=5625, accuracy=0.6622999906539917, train_accuracy=0.6125)
EpochMetrics(epoch=19, total_rounds=38, total_fda_steps=5938, accuracy=0.6696000099182129, train_accuracy=0.5625)
EpochMetrics(epoch=20, total_rounds=39, total_fda_steps=6250, accuracy=0.6682999730110168, train_accuracy=0.61875)
EpochMetrics(epoch=21, total_rounds=41, total_fda_steps=6563, accuracy=0.6917999982833862, train_accuracy=0.7125)
EpochMetrics(epoch=22, total_rounds=42, total_fda_steps=6875, accuracy=0.7055000066757202, train_accuracy=0.68125)
EpochMetrics(epoch=23, total_rounds=43, total_fda_steps=7188, accuracy=0.7105000019073486, train_accuracy=0.61875)
EpochMetrics(epoch=24, total_rounds=45, total_fda_steps=7500, accuracy=0.7003999948501587, train_accuracy=0.7)
EpochMetrics(epoch=25, total_rounds=46, total_fda_steps=7813, accuracy=0.7167999744415283, train_accuracy=0.75)
EpochMetrics(epoch=26, total_rounds=47, total_fda_steps=8125, accuracy=0.7300000190734863, train_accuracy=0.65625)
EpochMetrics(epoch=27, total_rounds=49, total_fda_steps=8438, accuracy=0.7314000129699707, train_accuracy=0.73125)
EpochMetrics(epoch=28, total_rounds=50, total_fda_steps=8750, accuracy=0.7303000092506409, train_accuracy=0.71875)
EpochMetrics(epoch=29, total_rounds=51, total_fda_steps=9063, accuracy=0.7232000231742859, train_accuracy=0.6875)
EpochMetrics(epoch=30, total_rounds=53, total_fda_steps=9375, accuracy=0.739300012588501, train_accuracy=0.70625)
EpochMetrics(epoch=31, total_rounds=54, total_fda_steps=9688, accuracy=0.7502999901771545, train_accuracy=0.69375)
EpochMetrics(epoch=32, total_rounds=56, total_fda_steps=10000, accuracy=0.7529000043869019, train_accuracy=0.73125)
EpochMetrics(epoch=33, total_rounds=57, total_fda_steps=10313, accuracy=0.7512999773025513, train_accuracy=0.70625)
EpochMetrics(epoch=34, total_rounds=59, total_fda_steps=10625, accuracy=0.7541999816894531, train_accuracy=0.68125)
EpochMetrics(epoch=35, total_rounds=60, total_fda_steps=10938, accuracy=0.7552000284194946, train_accuracy=0.7875)
EpochMetrics(epoch=36, total_rounds=62, total_fda_steps=11250, accuracy=0.7512999773025513, train_accuracy=0.69375)
EpochMetrics(epoch=37, total_rounds=64, total_fda_steps=11563, accuracy=0.7595999836921692, train_accuracy=0.75)
EpochMetrics(epoch=38, total_rounds=65, total_fda_steps=11875, accuracy=0.7617999911308289, train_accuracy=0.78125)
EpochMetrics(epoch=39, total_rounds=67, total_fda_steps=12188, accuracy=0.761900007724762, train_accuracy=0.7125)
EpochMetrics(epoch=40, total_rounds=69, total_fda_steps=12500, accuracy=0.7651000022888184, train_accuracy=0.7875)
EpochMetrics(epoch=41, total_rounds=70, total_fda_steps=12813, accuracy=0.760200023651123, train_accuracy=0.775)
EpochMetrics(epoch=42, total_rounds=72, total_fda_steps=13125, accuracy=0.7720000147819519, train_accuracy=0.775)
EpochMetrics(epoch=43, total_rounds=74, total_fda_steps=13438, accuracy=0.7789000272750854, train_accuracy=0.775)
EpochMetrics(epoch=44, total_rounds=76, total_fda_steps=13750, accuracy=0.7694000005722046, train_accuracy=0.78125)
EpochMetrics(epoch=45, total_rounds=78, total_fda_steps=14063, accuracy=0.7777000069618225, train_accuracy=0.76875)
EpochMetrics(epoch=46, total_rounds=80, total_fda_steps=14375, accuracy=0.767799973487854, train_accuracy=0.7875)
EpochMetrics(epoch=47, total_rounds=82, total_fda_steps=14688, accuracy=0.7802000045776367, train_accuracy=0.7875)
EpochMetrics(epoch=48, total_rounds=84, total_fda_steps=15000, accuracy=0.7870000004768372, train_accuracy=0.80625)
EpochMetrics(epoch=49, total_rounds=86, total_fda_steps=15313, accuracy=0.7814000248908997, train_accuracy=0.8375)
EpochMetrics(epoch=50, total_rounds=88, total_fda_steps=15625, accuracy=0.7809000015258789, train_accuracy=0.8125)
EpochMetrics(epoch=51, total_rounds=90, total_fda_steps=15938, accuracy=0.774399995803833, train_accuracy=0.79375)
EpochMetrics(epoch=52, total_rounds=92, total_fda_steps=16250, accuracy=0.7857999801635742, train_accuracy=0.73125)
EpochMetrics(epoch=53, total_rounds=94, total_fda_steps=16563, accuracy=0.7878999710083008, train_accuracy=0.75)
EpochMetrics(epoch=54, total_rounds=97, total_fda_steps=16875, accuracy=0.7814000248908997, train_accuracy=0.8125)
EpochMetrics(epoch=55, total_rounds=99, total_fda_steps=17188, accuracy=0.7878000140190125, train_accuracy=0.8625)
EpochMetrics(epoch=56, total_rounds=101, total_fda_steps=17500, accuracy=0.7789999842643738, train_accuracy=0.74375)
EpochMetrics(epoch=57, total_rounds=103, total_fda_steps=17813, accuracy=0.784600019454956, train_accuracy=0.775)
EpochMetrics(epoch=58, total_rounds=106, total_fda_steps=18125, accuracy=0.7906000018119812, train_accuracy=0.79375)
EpochMetrics(epoch=59, total_rounds=108, total_fda_steps=18438, accuracy=0.791100025177002, train_accuracy=0.8125)
EpochMetrics(epoch=60, total_rounds=111, total_fda_steps=18750, accuracy=0.7914999723434448, train_accuracy=0.875)
EpochMetrics(epoch=61, total_rounds=113, total_fda_steps=19063, accuracy=0.7904999852180481, train_accuracy=0.79375)
EpochMetrics(epoch=62, total_rounds=115, total_fda_steps=19375, accuracy=0.7861999869346619, train_accuracy=0.75)
EpochMetrics(epoch=63, total_rounds=118, total_fda_steps=19688, accuracy=0.7955999970436096, train_accuracy=0.775)
EpochMetrics(epoch=64, total_rounds=121, total_fda_steps=20000, accuracy=0.7886000275611877, train_accuracy=0.8625)
EpochMetrics(epoch=65, total_rounds=123, total_fda_steps=20313, accuracy=0.7900999784469604, train_accuracy=0.84375)
EpochMetrics(epoch=66, total_rounds=126, total_fda_steps=20625, accuracy=0.785099983215332, train_accuracy=0.83125)
EpochMetrics(epoch=67, total_rounds=128, total_fda_steps=20938, accuracy=0.791700005531311, train_accuracy=0.81875)
EpochMetrics(epoch=68, total_rounds=131, total_fda_steps=21250, accuracy=0.8008999824523926, train_accuracy=0.825)
EpochMetrics(epoch=69, total_rounds=134, total_fda_steps=21563, accuracy=0.7997999787330627, train_accuracy=0.85)
EpochMetrics(epoch=70, total_rounds=136, total_fda_steps=21875, accuracy=0.7967000007629395, train_accuracy=0.78125)
EpochMetrics(epoch=71, total_rounds=139, total_fda_steps=22188, accuracy=0.8008000254631042, train_accuracy=0.83125)
EpochMetrics(epoch=72, total_rounds=142, total_fda_steps=22500, accuracy=0.7980999946594238, train_accuracy=0.81875)
EpochMetrics(epoch=73, total_rounds=145, total_fda_steps=22813, accuracy=0.805899977684021, train_accuracy=0.89375)
EpochMetrics(epoch=74, total_rounds=148, total_fda_steps=23125, accuracy=0.7930999994277954, train_accuracy=0.8125)
EpochMetrics(epoch=75, total_rounds=150, total_fda_steps=23438, accuracy=0.7972999811172485, train_accuracy=0.78125)
EpochMetrics(epoch=76, total_rounds=153, total_fda_steps=23750, accuracy=0.7914000153541565, train_accuracy=0.7875)
EpochMetrics(epoch=77, total_rounds=156, total_fda_steps=24063, accuracy=0.7953000068664551, train_accuracy=0.79375)
EpochMetrics(epoch=78, total_rounds=159, total_fda_steps=24375, accuracy=0.7932999730110168, train_accuracy=0.76875)
EpochMetrics(epoch=79, total_rounds=162, total_fda_steps=24688, accuracy=0.8022000193595886, train_accuracy=0.81875)
EpochMetrics(epoch=80, total_rounds=165, total_fda_steps=25000, accuracy=0.7889000177383423, train_accuracy=0.7625)
EpochMetrics(epoch=81, total_rounds=168, total_fda_steps=25313, accuracy=0.7998999953269958, train_accuracy=0.7625)
EpochMetrics(epoch=82, total_rounds=171, total_fda_steps=25625, accuracy=0.7944999933242798, train_accuracy=0.84375)
EpochMetrics(epoch=83, total_rounds=174, total_fda_steps=25938, accuracy=0.8009999990463257, train_accuracy=0.825)
EpochMetrics(epoch=84, total_rounds=177, total_fda_steps=26250, accuracy=0.8062999844551086, train_accuracy=0.8)
EpochMetrics(epoch=85, total_rounds=181, total_fda_steps=26563, accuracy=0.8080999851226807, train_accuracy=0.94375)
EpochMetrics(epoch=86, total_rounds=184, total_fda_steps=26875, accuracy=0.8069999814033508, train_accuracy=0.8125)
EpochMetrics(epoch=87, total_rounds=187, total_fda_steps=27188, accuracy=0.7991999983787537, train_accuracy=0.8125)
EpochMetrics(epoch=88, total_rounds=190, total_fda_steps=27500, accuracy=0.8051999807357788, train_accuracy=0.81875)
EpochMetrics(epoch=89, total_rounds=194, total_fda_steps=27813, accuracy=0.8008999824523926, train_accuracy=0.925)
EpochMetrics(epoch=90, total_rounds=197, total_fda_steps=28125, accuracy=0.8112999796867371, train_accuracy=0.84375)
EpochMetrics(epoch=91, total_rounds=200, total_fda_steps=28438, accuracy=0.8034999966621399, train_accuracy=0.81875)
EpochMetrics(epoch=92, total_rounds=203, total_fda_steps=28750, accuracy=0.8069999814033508, train_accuracy=0.83125)
EpochMetrics(epoch=93, total_rounds=207, total_fda_steps=29063, accuracy=0.8087999820709229, train_accuracy=0.90625)
EpochMetrics(epoch=94, total_rounds=210, total_fda_steps=29375, accuracy=0.8075000047683716, train_accuracy=0.875)
EpochMetrics(epoch=95, total_rounds=213, total_fda_steps=29688, accuracy=0.8001000285148621, train_accuracy=0.80625)
EpochMetrics(epoch=96, total_rounds=217, total_fda_steps=30000, accuracy=0.8047000169754028, train_accuracy=0.94375)
EpochMetrics(epoch=97, total_rounds=220, total_fda_steps=30313, accuracy=0.7986000180244446, train_accuracy=0.78125)
EpochMetrics(epoch=98, total_rounds=224, total_fda_steps=30625, accuracy=0.7986999750137329, train_accuracy=0.8625)
EpochMetrics(epoch=99, total_rounds=227, total_fda_steps=30938, accuracy=0.8025000095367432, train_accuracy=0.84375)
EpochMetrics(epoch=100, total_rounds=230, total_fda_steps=31250, accuracy=0.7896000146865845, train_accuracy=0.8)
EpochMetrics(epoch=101, total_rounds=234, total_fda_steps=31563, accuracy=0.8019000291824341, train_accuracy=0.875)
EpochMetrics(epoch=102, total_rounds=237, total_fda_steps=31875, accuracy=0.79830002784729, train_accuracy=0.83125)
EpochMetrics(epoch=103, total_rounds=241, total_fda_steps=32188, accuracy=0.8069000244140625, train_accuracy=0.84375)
EpochMetrics(epoch=104, total_rounds=245, total_fda_steps=32500, accuracy=0.8072999715805054, train_accuracy=0.9)
EpochMetrics(epoch=105, total_rounds=248, total_fda_steps=32813, accuracy=0.8077999949455261, train_accuracy=0.81875)
EpochMetrics(epoch=106, total_rounds=252, total_fda_steps=33125, accuracy=0.807699978351593, train_accuracy=0.8625)
EpochMetrics(epoch=107, total_rounds=255, total_fda_steps=33438, accuracy=0.7978000044822693, train_accuracy=0.83125)
EpochMetrics(epoch=108, total_rounds=259, total_fda_steps=33750, accuracy=0.8062999844551086, train_accuracy=0.8625)
EpochMetrics(epoch=109, total_rounds=263, total_fda_steps=34063, accuracy=0.8021000027656555, train_accuracy=0.94375)
EpochMetrics(epoch=110, total_rounds=266, total_fda_steps=34375, accuracy=0.808899998664856, train_accuracy=0.86875)
EpochMetrics(epoch=111, total_rounds=270, total_fda_steps=34688, accuracy=0.8112999796867371, train_accuracy=0.88125)
EpochMetrics(epoch=112, total_rounds=273, total_fda_steps=35000, accuracy=0.8086000084877014, train_accuracy=0.80625)
EpochMetrics(epoch=113, total_rounds=277, total_fda_steps=35313, accuracy=0.8044000267982483, train_accuracy=0.8375)
EpochMetrics(epoch=114, total_rounds=281, total_fda_steps=35625, accuracy=0.8133000135421753, train_accuracy=0.875)
EpochMetrics(epoch=115, total_rounds=285, total_fda_steps=35938, accuracy=0.8037999868392944, train_accuracy=0.9125)
EpochMetrics(epoch=116, total_rounds=288, total_fda_steps=36250, accuracy=0.8108999729156494, train_accuracy=0.8375)
EpochMetrics(epoch=117, total_rounds=292, total_fda_steps=36563, accuracy=0.8118000030517578, train_accuracy=0.8625)
EpochMetrics(epoch=118, total_rounds=296, total_fda_steps=36875, accuracy=0.8019000291824341, train_accuracy=0.9125)
EpochMetrics(epoch=119, total_rounds=300, total_fda_steps=37188, accuracy=0.8039000034332275, train_accuracy=0.9)
EpochMetrics(epoch=120, total_rounds=304, total_fda_steps=37500, accuracy=0.8015000224113464, train_accuracy=0.86875)
EpochMetrics(epoch=121, total_rounds=308, total_fda_steps=37813, accuracy=0.8090999722480774, train_accuracy=0.95625)
EpochMetrics(epoch=122, total_rounds=311, total_fda_steps=38125, accuracy=0.79339998960495, train_accuracy=0.78125)
EpochMetrics(epoch=123, total_rounds=315, total_fda_steps=38438, accuracy=0.8068000078201294, train_accuracy=0.84375)
EpochMetrics(epoch=124, total_rounds=319, total_fda_steps=38750, accuracy=0.8083000183105469, train_accuracy=0.85625)
