Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : sketch
Num Clients : 5
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 350.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=13, total_fda_steps=313, accuracy=0.25270000100135803, train_accuracy=0.24375)
EpochMetrics(epoch=2, total_rounds=14, total_fda_steps=625, accuracy=0.3418000042438507, train_accuracy=0.36875)
EpochMetrics(epoch=3, total_rounds=14, total_fda_steps=938, accuracy=0.39469999074935913, train_accuracy=0.34375)
EpochMetrics(epoch=4, total_rounds=15, total_fda_steps=1250, accuracy=0.41519999504089355, train_accuracy=0.375)
EpochMetrics(epoch=5, total_rounds=15, total_fda_steps=1563, accuracy=0.4041000008583069, train_accuracy=0.40625)
EpochMetrics(epoch=6, total_rounds=16, total_fda_steps=1875, accuracy=0.4453999996185303, train_accuracy=0.425)
EpochMetrics(epoch=7, total_rounds=16, total_fda_steps=2188, accuracy=0.5133000016212463, train_accuracy=0.51875)
EpochMetrics(epoch=8, total_rounds=16, total_fda_steps=2500, accuracy=0.5307000279426575, train_accuracy=0.4875)
EpochMetrics(epoch=9, total_rounds=17, total_fda_steps=2813, accuracy=0.5479000210762024, train_accuracy=0.5)
EpochMetrics(epoch=10, total_rounds=17, total_fda_steps=3125, accuracy=0.5630000233650208, train_accuracy=0.51875)
EpochMetrics(epoch=11, total_rounds=18, total_fda_steps=3438, accuracy=0.578000009059906, train_accuracy=0.525)
EpochMetrics(epoch=12, total_rounds=19, total_fda_steps=3750, accuracy=0.5821999907493591, train_accuracy=0.63125)
EpochMetrics(epoch=13, total_rounds=19, total_fda_steps=4063, accuracy=0.6193000078201294, train_accuracy=0.575)
EpochMetrics(epoch=14, total_rounds=20, total_fda_steps=4375, accuracy=0.6162999868392944, train_accuracy=0.5875)
EpochMetrics(epoch=15, total_rounds=21, total_fda_steps=4688, accuracy=0.6467000246047974, train_accuracy=0.56875)
EpochMetrics(epoch=16, total_rounds=22, total_fda_steps=5000, accuracy=0.6603999733924866, train_accuracy=0.60625)
EpochMetrics(epoch=17, total_rounds=22, total_fda_steps=5313, accuracy=0.6733999848365784, train_accuracy=0.61875)
EpochMetrics(epoch=18, total_rounds=23, total_fda_steps=5625, accuracy=0.6905999779701233, train_accuracy=0.68125)
EpochMetrics(epoch=19, total_rounds=24, total_fda_steps=5938, accuracy=0.7031000256538391, train_accuracy=0.725)
